qid,docid,docno,rank,score,query
1,2723,2723,84,9.546723194266148, rooms AND rescue AND nottingham
1,3872,3872,85,9.546723194266148, rooms AND rescue AND nottingham
1,4120,4120,86,9.546723194266148, rooms AND rescue AND nottingham
1,5004,5004,87,9.546723194266148, rooms AND rescue AND nottingham
1,7082,7082,88,9.546723194266148, rooms AND rescue AND nottingham
1,847,847,89,9.460445259992719, rooms AND rescue AND nottingham
1,259,259,90,9.426184614606422, rooms AND rescue AND nottingham
1,1213,1213,91,9.405307683918727, rooms AND rescue AND nottingham
1,1408,1408,92,9.405307683918727, rooms AND rescue AND nottingham
1,2948,2948,93,9.405307683918727, rooms AND rescue AND nottingham
1,5447,5447,94,9.405307683918727, rooms AND rescue AND nottingham
1,11040,11040,95,9.405307683918727, rooms AND rescue AND nottingham
1,11244,11244,96,9.405307683918727, rooms AND rescue AND nottingham
1,11641,11641,97,9.405307683918727, rooms AND rescue AND nottingham
1,1001,1001,98,9.268020592285481, rooms AND rescue AND nottingham
1,1301,1301,99,9.268020592285481, rooms AND rescue AND nottingham
1,1365,1365,100,9.268020592285481, rooms AND rescue AND nottingham
1,1599,1599,101,9.268020592285481, rooms AND rescue AND nottingham
1,2441,2441,102,9.268020592285481, rooms AND rescue AND nottingham
1,2487,2487,103,9.268020592285481, rooms AND rescue AND nottingham
1,3041,3041,104,9.268020592285481, rooms AND rescue AND nottingham
1,3126,3126,105,9.268020592285481, rooms AND rescue AND nottingham
1,3141,3141,106,9.268020592285481, rooms AND rescue AND nottingham
1,3191,3191,107,9.268020592285481, rooms AND rescue AND nottingham
1,3546,3546,108,9.268020592285481, rooms AND rescue AND nottingham
1,4207,4207,109,9.268020592285481, rooms AND rescue AND nottingham
1,4649,4649,110,9.268020592285481, rooms AND rescue AND nottingham
1,5069,5069,111,9.268020592285481, rooms AND rescue AND nottingham
1,5804,5804,112,9.268020592285481, rooms AND rescue AND nottingham
1,6022,6022,113,9.268020592285481, rooms AND rescue AND nottingham
1,6884,6884,114,9.268020592285481, rooms AND rescue AND nottingham
1,7292,7292,115,9.268020592285481, rooms AND rescue AND nottingham
1,8099,8099,116,9.268020592285481, rooms AND rescue AND nottingham
1,8127,8127,117,9.268020592285481, rooms AND rescue AND nottingham
1,8140,8140,118,9.268020592285481, rooms AND rescue AND nottingham
1,8244,8244,119,9.268020592285481, rooms AND rescue AND nottingham
1,8402,8402,120,9.268020592285481, rooms AND rescue AND nottingham
1,8414,8414,121,9.268020592285481, rooms AND rescue AND nottingham
1,8531,8531,122,9.268020592285481, rooms AND rescue AND nottingham
1,8555,8555,123,9.268020592285481, rooms AND rescue AND nottingham
1,9721,9721,124,9.268020592285481, rooms AND rescue AND nottingham
1,9732,9732,125,9.268020592285481, rooms AND rescue AND nottingham
1,10448,10448,126,9.268020592285481, rooms AND rescue AND nottingham
1,10591,10591,127,9.268020592285481, rooms AND rescue AND nottingham
1,10898,10898,128,9.268020592285481, rooms AND rescue AND nottingham
1,11199,11199,129,9.268020592285481, rooms AND rescue AND nottingham
